frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,327:296
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,295:264
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,263:232
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,231:200
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,199:168
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,167:136
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,135:104
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,103:72
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,71:40
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,39:8
frame10,10,8,1111_1111_0000_0000_0000_0000_0000_0000,7:0
frame11,11,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame12,12,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame13,13,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
